시도,"생활폐기물 관리구역(면적, km2)","생활폐기물 관리구역(인구, 명)",시설 설치비,수집·운반등 처리비,매립,소각,재활용,처리 총량
합계,98317,53112059,214479292,3622776004,7909.2,13609.8,32252.9,53771.9
서울,605,10173973,361663,737377585,766.4,2291.9,6549.7,9608.0
부산,770,3546887,3000000,253180897,250.4,422.4,2679.4,3352.2
대구,884,2511334,33946658,142869437,744.1,315.4,1897.4,2956.9
인천,1045,3001142,20141,182600865,381.0,669.2,1339.3,2389.5
광주,501,1489134,0,64470143,286.1,223.2,737.9,1247.2
대전,488,1530375,49131238,51405976,281.9,273.9,1072.7,1628.5
울산,1047,1195669,0,85096154,272.7,479.4,839.3,1591.4
세종,465,246792,0,8035588,10.0,43.6,123.2,176.8
경기,10183,13096158,8655031,818979931,1220.3,3716.1,7133.1,12069.5
강원,15771,1562488,10395043,151772093,564.6,447.7,1166.8,2179.1
충북,7391,1625350,3670042,93767698,300.5,646.5,1167.4,2114.4
충남,8201,2153570,1104302,184889908,243.2,953.1,1305.7,2502.0
전북,8045,1887007,13819500,154250176,351.8,386.9,1108.8,1847.5
전남,12097,2234799,6704653,152905061,586.2,381.0,999.6,1966.8
경북,18493,2745932,64220771,223970182,720.3,891.4,1273.7,2885.4
경남,10481,3450259,11349379,237694757,626.3,1163.5,2161.6,3951.4
제주,1849,661190,8100871,79509553,303.4,304.6,697.3,1305.3
