시도(1),시설수 (개소),시설용량 (톤/일),1일평균가동시간 (시간),처리량 (톤),설치비 (백만원),연간유지관리비 (백만원),관리인원 (명),에너지이용실태 (Gcal)
시도(1),소계,소계,소계,소계,소계,소계,소계,소계
합계,184,17581,21,4652412,4305063,486043,3752,9382390
서울,5,2898,24,749648,401410,59064,316,1606561
부산,2,510,24,151202,89540,15898,69,336620
대구,1,480,24,114857,72018,8987,51,264041
인천,9,877,11,265832,221772,17072,90,607651
광주,1,320,24,71003,74300,4821,40,129836
대전,1,320,24,98146,70613,8815,41,237232
울산,2,650,21,184790,134443,8918,66,331001
세종,1,45,24,12124,31350,2754,20,21288
경기,27,5304,24,1349194,1499866,155894,1078,2932011
강원,15,578,23,160249,174089,20922,234,171502
충북,10,709,20,216085,236680,20242,195,417023
충남,11,1081,24,325939,248059,27002,231,567878
전북,2,600,24,142662,66390,12544,96,524530
전남,56,502,11,118575,169566,23467,340,107566
경북,18,837,21,240669,298697,29569,317,163780
경남,18,1594,24,431306,446890,55223,467,879002
제주,5,276,13,20130,69380,14851,101,84868
