,시도,"생활폐기물 관리구역(면적, km2)","생활폐기물 관리구역(인구, 명)",시설 설치비,수집·운반등 처리비,매립,소각,재활용,처리 총량
0,합계,98904,53070891,201754608,4135279299,7525.4,13762.9,34747.1,56035.4
1,서울,605,10049607,3096211,812904960,868.5,2167.5,6456.9,9492.9
2,부산,770,3497277,11070000,234804139,98.4,410.9,2827.9,3337.2
3,대구,884,2489802,100000,162882560,464.8,257.6,2292.4,3014.8
4,인천,1047,3021235,813414,231236281,342.0,773.8,1659.6,2775.4
5,광주,501,1482151,0,77384259,518.4,30.0,723.9,1272.3
6,대전,540,1512636,0,105932222,213.7,240.9,1156.7,1611.3
7,울산,1048,1170471,0,95069409,246.2,491.2,812.8,1550.2
8,세종,465,319940,2824323,30224995,23.9,92.1,288.3,404.3
9,경기,10188,13493697,2928955,916928632,958.3,3917.1,7530.7,12406.1
10,강원,15772,1555705,26215859,187089108,596.5,449.3,1326.5,2372.3
11,충북,7392,1638818,7338560,130181093,415.7,612.3,1135.1,2163.1
12,충남,8204,2199913,5605871,202192356,224.6,1110.0,1627.3,2961.9
13,전북,8054,1862458,14215578,176691908,340.8,483.9,1284.7,2109.4
14,전남,12141,1909548,21086559,161859894,689.8,380.4,996.6,2066.8
15,경북,18962,2730465,23531114,244912320,785.8,862.7,1597.7,3246.2
16,경남,10482,3445136,15353179,256654896,528.3,1151.0,2258.0,3937.3
17,제주,1850,692032,67574985,108330267,209.7,332.2,772.0,1313.9
