시도(1),소재지 (개소),시설용량 (톤/일),1일평균 가동시간 (시간),시설수 (개소),처리량 (톤),설치비 (백만원),연간유지관리비 (백만원),발생가스 이용현황 (N㎥/년)
시도(1),소계,소계,소계,소계,소계,소계,소계,소계
합계,283,42410,9,729,5034978,2413003,12275556,49649079
서울,35,6769,11,78,1223916,301229,11540453,8829636
부산,15,1131,7,45,300621,253377,19034,0
대구,6,1002,12,24,146697,289239,18341,6003104
인천,9,1726,8,12,196675,376098,24284,189187
광주,8,699,8,17,152078,75115,7525,7160155
대전,4,271,8,5,56854,10461,2509,0
울산,4,383,9,6,112585,28605,4133,12977328
세종,2,95,10,8,15757,24500,1725,0
경기,49,11176,9,179,891077,510896,217140,1382663
강원,19,998,7,56,139726,74422,11942,1053957
충북,10,643,10,23,149977,47675,9455,5180664
충남,15,606,8,28,124050,75962,353188,0
전북,12,750,7,44,136032,47217,11855,0
전남,36,13728,6,70,844688,50701,9908,825450
경북,21,426,5,36,92844,48735,8864,-
경남,31,1720,7,80,365044,174325,28543,6046935
제주,7,286,14,18,86359,24446,6657,0
